territory,format,primary_role,format_purpose
Drop Into The Moment,Breaking Drop,Problem Framing,Activate a timely fandom or cultural moment
Drop Into The Moment,Drop-ins of the Week,Problem Framing,Create a recurring view of fast-moving moments
Drop Into The Moment,Drop the Mic in 60 Seconds,Solution Education,Explain a cultural signal in a concise motion format
Drop Into The Moment,Industry Drops,Solution Education,Translate timely culture into an industry-specific opportunity
Don’t Just Play — Perform,"Play Hard, Perform Hard",Problem Framing,Lead with creative excellence and measurable ambition
Don’t Just Play — Perform,Star Performers,Proof & Credibility,Showcase high-performing creative patterns or examples
Don’t Just Play — Perform,Play with Creative. Perform with Numbers.,Solution Education,Connect artistry to performance measurement
Don’t Just Play — Perform,Performance Proof Card,Proof & Credibility,Package an outcome or benchmark into a proof asset
Both selected territories,CTA / Lead Gen Variant,Action / Conversion,Create a clear next step for either selected territory
Both selected territories,Case Study Card,Proof & Credibility,Add evidence to either selected territory
Both selected territories,Stat Animation,Proof & Credibility,Animate a performance point for either selected territory
Both selected territories,Event / Content Promotion,Action / Conversion,Promote an event or content offer with a measurable next step
